2026-03-29 12:39:19,601 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-29 12:39:30,852 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-29 12:39:31,058 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-29 12:39:34,164 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-29 12:39:35,430 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-29 12:39:37,886 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-29 12:39:38,219 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-29 12:39:41,953 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-29 12:39:46,930 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-29 12:39:46,930 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-29 12:39:53,353 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-29 12:40:02,214 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-29 12:40:02,774 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-29 12:40:06,028 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-29 12:40:09,254 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
