2026-03-29 12:10:45,509 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-29 12:10:57,888 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-29 12:10:58,265 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-29 12:10:58,453 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-29 12:10:58,669 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-29 12:11:02,026 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-29 12:11:02,757 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-29 12:11:03,477 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-29 12:11:04,363 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-29 12:11:04,424 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-29 12:11:06,363 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-29 12:11:07,816 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-29 12:11:09,752 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-29 12:11:12,316 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
