2026-03-30 08:17:37,396 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-30 08:17:50,559 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-30 08:17:50,936 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-30 08:17:51,214 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-30 08:17:51,505 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-30 08:17:55,013 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-30 08:17:55,712 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-30 08:17:56,567 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-30 08:17:57,443 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-30 08:17:57,511 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-30 08:17:59,674 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-30 08:18:00,953 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-30 08:18:03,979 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-30 08:18:06,939 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
