2026-03-30 10:39:18,959 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-30 10:39:30,956 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-30 10:39:31,104 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-30 10:39:31,478 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-30 10:39:31,649 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-30 10:39:34,967 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-30 10:39:35,394 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-30 10:39:36,346 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-30 10:39:37,257 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-30 10:39:37,323 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-30 10:39:39,118 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-30 10:39:40,490 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-30 10:39:42,596 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-30 10:39:44,984 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
