2026-03-28 16:54:58,857 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-28 16:55:04,517 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-28 16:55:04,679 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-28 16:55:07,456 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-28 16:55:08,173 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-28 16:55:10,203 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-28 16:55:10,519 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-28 16:55:12,750 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-28 16:55:15,043 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-28 16:55:15,043 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-28 16:55:18,943 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-28 16:55:23,633 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-28 16:55:23,939 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-28 16:55:27,044 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-28 16:55:30,161 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
