2026-03-28 16:48:01,789 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-28 16:48:07,808 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-28 16:48:07,905 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-28 16:48:08,009 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-28 16:48:08,149 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-28 16:48:11,366 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-28 16:48:11,746 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-28 16:48:12,249 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-28 16:48:12,993 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-28 16:48:13,059 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-28 16:48:14,519 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-28 16:48:14,826 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-28 16:48:17,181 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-28 16:48:19,838 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
