2026-03-30 08:50:38,381 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-30 08:50:49,884 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-30 08:50:50,336 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-30 08:50:53,494 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-30 08:50:54,522 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-30 08:50:57,116 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-30 08:50:57,439 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-30 08:51:01,139 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-30 08:51:05,690 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-30 08:51:05,690 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-30 08:51:12,099 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-30 08:51:20,307 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-30 08:51:20,534 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-30 08:51:23,643 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-30 08:51:26,761 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
