2026-03-28 16:30:55,706 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-28 16:31:01,675 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-28 16:31:01,773 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-28 16:31:01,884 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-28 16:31:01,999 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-28 16:31:04,980 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-28 16:31:05,312 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-28 16:31:05,733 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-28 16:31:06,455 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-28 16:31:06,532 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-28 16:31:07,901 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-28 16:31:08,180 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-28 16:31:10,395 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-28 16:31:12,842 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
