2026-03-29 10:33:54,088 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-29 10:33:59,733 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-29 10:33:59,861 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-29 10:34:02,715 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-29 10:34:03,361 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-29 10:34:05,092 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-29 10:34:05,318 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-29 10:34:07,239 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-29 10:34:09,364 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-29 10:34:09,364 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-29 10:34:13,483 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-29 10:34:18,438 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-29 10:34:18,670 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-29 10:34:21,909 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-29 10:34:25,176 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
