2026-03-30 08:13:39,817 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-30 08:13:52,110 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-30 08:13:52,444 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-30 08:13:52,634 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-30 08:13:52,847 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-30 08:13:56,397 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-30 08:13:57,143 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-30 08:13:57,997 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-30 08:13:58,898 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-30 08:13:58,962 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-30 08:14:00,820 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-30 08:14:01,447 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-30 08:14:05,079 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-30 08:14:08,049 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
