2026-03-30 10:02:39,684 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-30 10:02:50,431 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-30 10:02:50,843 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-30 10:02:54,080 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-30 10:02:55,137 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-30 10:02:57,533 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-30 10:02:57,873 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-30 10:03:01,297 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-30 10:03:05,719 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-30 10:03:05,719 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-30 10:03:11,916 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-30 10:03:19,794 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-30 10:03:19,901 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-30 10:03:23,106 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-30 10:03:26,332 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
