2026-03-30 08:44:23,201 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-30 08:44:33,917 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-30 08:44:34,053 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-30 08:44:34,509 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-30 08:44:34,696 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-30 08:44:37,856 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-30 08:44:38,675 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-30 08:44:39,675 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-30 08:44:40,649 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-30 08:44:40,753 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-30 08:44:42,928 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-30 08:44:44,243 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-30 08:44:47,070 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-30 08:44:50,247 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
