2026-03-30 10:48:12,439 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-30 10:48:23,863 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-30 10:48:24,073 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-30 10:48:27,057 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-30 10:48:27,776 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-30 10:48:30,343 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-30 10:48:30,694 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-30 10:48:34,282 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-30 10:48:39,200 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-30 10:48:39,200 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-30 10:48:45,637 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-30 10:48:54,795 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-30 10:48:55,139 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-30 10:48:58,908 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-30 10:49:02,739 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
