2026-03-30 19:52:41,071 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-30 19:52:53,300 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-30 19:52:53,611 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-30 19:52:53,775 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-30 19:52:54,012 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-30 19:52:57,299 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-30 19:52:57,977 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-30 19:52:58,689 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-30 19:52:59,527 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-30 19:52:59,593 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-30 19:53:01,556 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-30 19:53:01,930 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-30 19:53:04,085 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-30 19:53:07,764 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
