2026-03-29 12:02:18,002 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-29 12:02:29,404 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-29 12:02:29,541 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-29 12:02:29,966 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-29 12:02:30,159 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-29 12:02:33,350 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-29 12:02:33,984 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-29 12:02:34,612 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-29 12:02:35,449 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-29 12:02:35,516 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-29 12:02:37,453 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-29 12:02:38,791 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-29 12:02:40,941 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-29 12:02:43,759 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
