2026-03-30 11:47:04,777 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-30 11:47:17,015 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-30 11:47:17,448 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-30 11:47:21,142 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-30 11:47:22,099 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-30 11:47:24,888 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-30 11:47:25,233 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-30 11:47:30,254 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-30 11:47:35,468 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-30 11:47:35,468 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-30 11:47:43,941 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-30 11:47:54,699 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-30 11:47:54,867 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-30 11:47:58,827 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-30 11:48:02,795 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
