2026-03-30 08:22:53,485 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-30 08:23:05,499 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-30 08:23:05,874 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-30 08:23:06,055 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-30 08:23:06,265 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-30 08:23:09,536 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-30 08:23:10,003 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-30 08:23:10,861 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-30 08:23:11,856 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-30 08:23:11,927 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-30 08:23:13,828 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-30 08:23:14,193 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-30 08:23:16,116 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-30 08:23:18,901 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
