2026-03-31 08:17:34,081 | INFO | bronze_to_silver_full | Starting full bronze to silver job
2026-03-31 08:17:44,901 | INFO | bronze_to_silver_full | Drivers bronze count: 861
2026-03-31 08:17:45,043 | INFO | bronze_to_silver_full | Constructors bronze count: 212
2026-03-31 08:17:45,243 | INFO | bronze_to_silver_full | Races bronze count: 901
2026-03-31 08:17:45,735 | INFO | bronze_to_silver_full | Results bronze count: 22221
2026-03-31 08:17:49,241 | INFO | bronze_to_silver_full | Drivers silver cleaned count: 861
2026-03-31 08:17:49,935 | INFO | bronze_to_silver_full | Constructors silver cleaned count: 212
2026-03-31 08:17:50,679 | INFO | bronze_to_silver_full | Races silver cleaned count: 901
2026-03-31 08:17:51,523 | INFO | bronze_to_silver_full | Results silver cleaned count: 22221
2026-03-31 08:17:51,585 | INFO | bronze_to_silver_full | Writing drivers silver
2026-03-31 08:17:53,581 | INFO | bronze_to_silver_full | Writing constructors silver
2026-03-31 08:17:53,977 | INFO | bronze_to_silver_full | Writing races silver partitioned by year
2026-03-31 08:17:56,078 | INFO | bronze_to_silver_full | Writing results silver partitioned by year
2026-03-31 08:17:59,117 | INFO | bronze_to_silver_full | Full bronze to silver job completed successfully
